,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
2341,C,ac,Project Management,29,medium
2342,C,ae,Engineer,20,high
2343,C,ac,Engineer,14,high
2344,C,ac,Project Management,17,high
2345,B,aa,Project Management,46,low
2346,C,ad,Project Management,7,high
2347,C,ac,Project Management,29,medium
2348,C,ae,Engineer,10,high
2349,D,ae,Project Management,21,high
2350,C,ae,Project Management,14,high
2351,A,aa,Maintenance,35,low
2352,A,ac,Project Management,44,low
2353,B,ab,Maintenance,40,low
2354,C,ae,Engineer,7,high
2355,D,ad,Project Management,9,high
2356,C,ad,Engineer,12,high
2357,D,ae,Project Management,16,high
2358,C,ac,Maintenance,23,medium
2359,A,ac,Project Management,43,low
2360,D,ae,Engineer,14,high
2361,C,ae,Engineer,8,high
2362,A,ab,Project Management,49,low
2363,C,ac,Project Management,30,medium
2364,C,ac,Maintenance,33,medium
2365,C,ad,Engineer,6,high
2366,B,ad,Engineer,18,medium
2367,C,ab,Project Management,18,medium
2368,D,ad,Engineer,8,high
2369,C,ac,Engineer,3,high
2370,B,ab,Project Management,44,low
2371,A,ac,Project Management,31,low
2372,B,ab,Project Management,24,medium
2373,D,ac,Project Management,22,high
2374,A,ac,Maintenance,28,low
2375,A,ab,Maintenance,50,low
2376,C,ac,Engineer,13,high
2377,B,ac,Project Management,29,low
2378,C,ac,Project Management,18,high
2379,C,ab,Project Management,35,medium
2380,B,ac,Maintenance,36,low
2381,C,ae,Engineer,14,high
2382,B,ab,Maintenance,18,medium
2383,B,ab,Engineer,17,medium
2384,D,ae,Project Management,4,high
2385,C,ac,Engineer,11,high
2386,A,ab,Maintenance,38,low
2387,B,ad,Engineer,22,medium
2388,B,ab,Maintenance,48,low
2389,C,ac,Maintenance,24,medium
2390,C,ad,Maintenance,17,medium
2391,B,ac,Engineer,29,medium
2392,A,ab,Project Management,50,low
2393,B,ac,Engineer,25,medium
2394,B,aa,Maintenance,41,low
2395,B,ab,Maintenance,38,low
2396,A,ab,Project Management,32,low
2397,A,aa,Maintenance,48,low
2398,C,ab,Project Management,30,medium
2399,C,ae,Project Management,10,high
2400,C,ac,Engineer,17,high
2401,A,ab,Project Management,46,low
2402,C,ad,Project Management,5,high
2403,B,ab,Engineer,25,medium
2404,C,ac,Maintenance,28,medium
2405,D,ac,Engineer,3,high
2406,B,ad,Project Management,30,medium
2407,A,ac,Maintenance,38,low
2408,A,aa,Maintenance,30,low
2409,D,ae,Engineer,9,high
2410,A,ab,Maintenance,48,low
2411,C,ab,Engineer,25,medium
2412,D,ae,Project Management,20,high
2413,D,ad,Project Management,6,high
2414,D,ac,Engineer,15,high
2415,D,ae,Engineer,12,high
2416,A,ac,Maintenance,40,low
2417,C,ac,Project Management,35,medium
2418,A,aa,Project Management,49,low
2419,A,ab,Project Management,38,low
2420,C,ad,Engineer,20,high
2421,C,ae,Project Management,15,high
2422,B,ad,Engineer,25,medium
2423,C,ae,Project Management,12,high
2424,B,ac,Project Management,17,medium
2425,A,ac,Project Management,33,low
2426,B,ac,Project Management,28,medium
2427,C,ad,Engineer,16,high
2428,C,ae,Project Management,17,high
2429,C,ad,Engineer,21,high
2430,B,ab,Maintenance,33,low
2431,D,ad,Engineer,13,high
2432,A,aa,Project Management,42,low
2433,C,ac,Project Management,32,medium
2434,A,aa,Project Management,47,low
2435,B,aa,Project Management,46,low
2436,B,ad,Engineer,17,medium
2437,C,ac,Maintenance,17,medium
2438,A,ab,Maintenance,33,low
2439,C,ac,Project Management,26,medium
2440,B,ab,Project Management,28,low
2441,A,ac,Maintenance,43,low
2442,A,aa,Project Management,30,low
2443,C,ab,Maintenance,27,medium
2444,C,ae,Engineer,19,high
2445,D,ad,Engineer,14,high
2446,B,ac,Engineer,18,medium
2447,A,ac,Maintenance,49,low
2448,C,ae,Project Management,14,high
2449,C,ae,Project Management,19,high
2450,A,ac,Project Management,34,low
2451,C,ab,Project Management,19,medium
2452,C,ac,Project Management,9,high
2453,D,ae,Engineer,14,high
2454,B,ad,Project Management,25,medium
2455,C,ac,Engineer,34,medium
2456,C,ad,Engineer,18,medium
2457,B,ac,Maintenance,28,medium
2458,C,ad,Project Management,32,medium
2459,C,ae,Project Management,6,high
2460,D,ad,Engineer,19,high
2461,C,ac,Project Management,20,high
2462,B,ac,Maintenance,34,medium
2463,C,ab,Maintenance,29,medium
2464,C,ad,Engineer,20,medium
2465,C,ae,Project Management,7,high
2466,B,ac,Maintenance,46,low
2467,D,ad,Engineer,14,high
2468,C,ab,Project Management,31,medium
2469,D,ad,Engineer,6,high
2470,B,ad,Maintenance,32,medium
2471,A,aa,Project Management,43,low
2472,A,aa,Maintenance,28,low
2473,B,ad,Project Management,17,medium
2474,D,ae,Engineer,7,high
2475,C,ad,Engineer,12,high
2476,D,ad,Engineer,14,high
2477,D,ad,Project Management,5,high
2478,B,ad,Maintenance,25,medium
2479,C,ab,Maintenance,23,medium
2480,D,ae,Project Management,13,high
2481,C,ad,Project Management,3,high
2482,C,ad,Engineer,18,high
2483,B,ad,Maintenance,25,medium
2484,C,ae,Project Management,9,high
2485,A,aa,Maintenance,29,low
2486,A,ac,Maintenance,41,low
2487,D,ad,Project Management,12,high
2488,A,aa,Maintenance,37,low
2489,A,ac,Project Management,41,low
2490,B,ab,Maintenance,47,low
2491,D,ae,Engineer,12,high
2492,B,aa,Maintenance,46,low
2493,C,ad,Project Management,32,medium
2494,B,ac,Maintenance,21,medium
2495,A,ab,Maintenance,30,low
2496,C,ad,Project Management,17,medium
2497,B,ac,Maintenance,52,low
2498,C,ad,Project Management,28,medium
2499,A,aa,Maintenance,34,low
2500,C,ab,Project Management,19,medium
2501,A,ac,Maintenance,50,low
2502,D,ac,Engineer,4,high
2503,C,ac,Engineer,10,high
2504,D,ae,Project Management,21,high
2505,C,ae,Engineer,8,high
2506,D,ac,Project Management,11,high
2507,A,aa,Maintenance,47,low
2508,D,ac,Project Management,6,high
2509,B,ad,Engineer,30,medium
2510,C,ac,Maintenance,15,medium
2511,D,ad,Engineer,14,high
2512,A,aa,Maintenance,42,low
2513,D,ad,Engineer,4,high
2514,A,aa,Project Management,51,low
2515,B,ac,Maintenance,27,medium
2516,B,ab,Maintenance,32,low
2517,A,aa,Maintenance,47,low
2518,C,ae,Engineer,11,high
2519,B,ac,Maintenance,34,medium
2520,B,aa,Maintenance,46,low
2521,D,ac,Project Management,7,high
2522,C,ab,Maintenance,32,medium
2523,C,ac,Project Management,5,high
2524,C,ac,Engineer,24,medium
2525,A,aa,Project Management,32,low
2526,B,aa,Maintenance,30,low
2527,C,ad,Project Management,30,medium
2528,B,ab,Project Management,39,low
2529,C,ad,Project Management,33,medium
2530,C,ad,Engineer,9,high
2531,B,ad,Engineer,26,medium
2532,B,ab,Maintenance,29,low
2533,C,ac,Project Management,11,high
2534,D,ad,Engineer,5,high
2535,C,ac,Engineer,3,high
2536,B,ac,Maintenance,35,low
2537,C,ab,Project Management,32,medium
2538,C,ac,Project Management,25,medium
2539,D,ad,Project Management,14,high
2540,B,ac,Maintenance,29,low
2541,C,ae,Engineer,4,high
2542,B,ab,Project Management,23,medium
2543,C,ac,Project Management,17,high
2544,C,ac,Project Management,22,medium
2545,B,ac,Project Management,18,medium
2546,B,aa,Project Management,37,low
2547,A,ac,Maintenance,32,low
2548,B,ac,Project Management,33,low
2549,C,ab,Maintenance,26,medium
2550,C,ae,Engineer,11,high
2551,B,ad,Maintenance,21,medium
2552,C,ac,Project Management,12,high
2553,B,ab,Maintenance,25,medium
2554,C,ad,Project Management,28,medium
2555,C,ac,Engineer,3,high
2556,A,aa,Project Management,38,low
2557,A,ab,Maintenance,40,low
2558,C,ad,Project Management,6,high
2559,D,ae,Engineer,19,high
2560,D,ae,Project Management,3,high
2561,B,ac,Maintenance,49,low
2562,C,ad,Engineer,17,high
2563,C,ab,Project Management,30,medium
2564,C,ac,Project Management,8,high
2565,C,ab,Project Management,31,medium
2566,C,ac,Engineer,10,high
2567,B,ac,Project Management,15,medium
2568,C,ac,Project Management,16,high
2569,B,aa,Project Management,35,low
2570,C,ad,Project Management,3,high
2571,D,ad,Engineer,8,high
2572,C,ad,Engineer,27,medium
2573,A,aa,Maintenance,49,low
2574,A,aa,Project Management,30,low
2575,B,ad,Maintenance,35,medium
2576,B,ac,Maintenance,37,low
2577,D,ac,Engineer,14,high
2578,C,ae,Engineer,22,high
2579,C,ac,Engineer,8,high
2580,C,ac,Maintenance,27,medium
2581,B,ac,Project Management,39,low
2582,C,ac,Maintenance,32,medium
2583,B,ab,Engineer,29,medium
2584,A,aa,Project Management,28,low
2585,C,ac,Project Management,4,high
2586,D,ac,Project Management,12,high
2587,A,ac,Project Management,31,low
2588,D,ac,Project Management,4,high
2589,C,ac,Project Management,27,medium
2590,A,ac,Maintenance,52,low
2591,B,ab,Engineer,35,medium
2592,B,ac,Maintenance,43,low
2593,D,ad,Project Management,16,high
2594,C,ab,Engineer,35,medium
2595,C,ac,Engineer,17,high
2596,C,ad,Project Management,24,medium
2597,B,ab,Maintenance,18,medium
2598,A,ab,Maintenance,41,low
2599,C,ab,Maintenance,25,medium
2600,D,ac,Engineer,13,high
2601,B,ab,Engineer,33,medium
2602,B,ad,Project Management,20,medium
2603,C,ad,Project Management,4,high
2604,D,ae,Project Management,21,high
2605,B,ab,Project Management,34,medium
2606,D,ae,Engineer,14,high
2607,A,aa,Project Management,28,low
2608,D,ac,Engineer,9,high
2609,B,ac,Project Management,35,medium
2610,C,ad,Maintenance,29,medium
2611,A,aa,Project Management,41,low
2612,B,ab,Maintenance,31,medium
2613,B,ac,Project Management,47,low
2614,A,aa,Maintenance,42,low
2615,C,ad,Project Management,31,medium
2616,B,ac,Engineer,24,medium
2617,B,aa,Project Management,51,low
2618,B,ab,Project Management,44,low
2619,B,ab,Project Management,44,low
2620,A,ab,Maintenance,33,low
2621,C,ac,Project Management,23,medium
2622,B,ac,Project Management,22,medium
2623,D,ad,Project Management,16,high
2624,D,ad,Engineer,13,high
2625,C,ad,Engineer,27,medium
2626,C,ac,Project Management,16,medium
2627,C,ae,Project Management,17,high
2628,A,ab,Project Management,38,low
2629,D,ad,Project Management,13,high
2630,D,ae,Engineer,16,high
2631,D,ad,Project Management,5,high
2632,B,ab,Maintenance,32,low
2633,A,ab,Project Management,30,low
2634,A,aa,Project Management,46,low
2635,B,ac,Engineer,29,medium
2636,A,aa,Maintenance,34,low
2637,B,aa,Project Management,32,low
2638,B,aa,Maintenance,35,low
2639,B,ac,Engineer,32,medium
2640,B,ad,Engineer,22,medium
2641,C,ab,Project Management,26,medium
2642,B,ab,Engineer,25,medium
2643,B,ab,Project Management,52,low
2644,C,ac,Engineer,19,high
2645,D,ae,Engineer,22,high
2646,D,ac,Project Management,7,high
2647,D,ad,Engineer,13,high
2648,C,ac,Engineer,18,medium
2649,C,ad,Project Management,4,high
2650,D,ae,Project Management,11,high
2651,B,ab,Engineer,19,medium
2652,B,ad,Maintenance,32,medium
2653,D,ad,Project Management,18,high
2654,B,aa,Maintenance,29,low
2655,C,ae,Engineer,7,high
2656,B,ad,Project Management,33,medium
2657,B,aa,Maintenance,31,low
2658,D,ac,Project Management,12,high
2659,C,ae,Project Management,14,high
2660,A,ac,Project Management,51,low
2661,B,ad,Project Management,15,medium
2662,C,ac,Maintenance,30,medium
2663,B,ab,Maintenance,52,low
2664,B,ad,Project Management,18,medium
2665,D,ae,Project Management,19,high
2666,C,ad,Maintenance,28,medium
2667,C,ae,Engineer,22,high
2668,B,aa,Maintenance,33,low
2669,D,ad,Project Management,15,high
2670,B,ab,Engineer,31,medium
2671,B,ab,Maintenance,20,medium
2672,C,ac,Maintenance,19,medium
2673,C,ae,Project Management,6,high
2674,B,ab,Project Management,51,low
2675,C,ac,Project Management,11,high
2676,D,ac,Project Management,18,high
2677,C,ae,Project Management,14,high
2678,C,ad,Engineer,10,high
2679,B,aa,Maintenance,44,low
2680,C,ac,Project Management,22,high
2681,C,ac,Project Management,18,medium
2682,A,ab,Project Management,37,low
2683,C,ae,Engineer,12,high
2684,C,ae,Project Management,5,high
2685,D,ad,Engineer,5,high
2686,C,ab,Maintenance,31,medium
2687,D,ad,Project Management,16,high
2688,A,ab,Maintenance,40,low
2689,B,ab,Engineer,35,medium
2690,B,ab,Project Management,41,low
2691,C,ad,Engineer,9,high
2692,D,ad,Project Management,15,high
2693,A,aa,Project Management,48,low
2694,D,ae,Engineer,13,high
2695,C,ac,Engineer,16,medium
2696,C,ab,Maintenance,30,medium
2697,D,ac,Engineer,5,high
2698,A,ac,Maintenance,43,low
2699,C,ab,Maintenance,33,medium
2700,A,aa,Project Management,46,low
2701,B,aa,Maintenance,41,low
2702,B,ab,Maintenance,27,medium
2703,C,ad,Maintenance,25,medium
2704,D,ae,Project Management,19,high
2705,C,ac,Engineer,30,medium
2706,B,ad,Engineer,25,medium
2707,C,ac,Project Management,3,high
2708,C,ad,Project Management,11,high
2709,B,ad,Maintenance,27,medium
2710,C,ac,Project Management,4,high
2711,C,ac,Engineer,5,high
2712,C,ad,Maintenance,27,medium
2713,C,ad,Project Management,19,medium
2714,D,ae,Engineer,22,high
2715,B,ac,Maintenance,20,medium
2716,A,ac,Maintenance,39,low
2717,C,ae,Project Management,19,high
2718,C,ad,Maintenance,25,medium
2719,B,ac,Engineer,26,medium
2720,C,ac,Maintenance,32,medium
2721,C,ab,Maintenance,24,medium
2722,D,ae,Project Management,22,high
2723,A,ac,Project Management,29,low
2724,D,ae,Project Management,12,high
2725,D,ad,Engineer,19,high
2726,D,ad,Project Management,18,high
2727,C,ab,Engineer,27,medium
2728,A,ab,Project Management,28,low
2729,C,ac,Engineer,16,high
2730,D,ae,Engineer,3,high
2731,D,ae,Project Management,22,high
2732,D,ac,Project Management,17,high
2733,C,ad,Project Management,16,high
2734,B,ac,Maintenance,34,medium
2735,B,ac,Project Management,30,low
2736,D,ad,Engineer,17,high
2737,C,ac,Project Management,9,high
2738,A,aa,Maintenance,51,low
2739,B,ad,Maintenance,26,medium
2740,B,aa,Maintenance,33,low
2741,C,ae,Engineer,6,high
2742,A,ac,Project Management,48,low
2743,B,ac,Maintenance,40,low
2744,B,ad,Engineer,32,medium
2745,B,ab,Project Management,42,low
2746,C,ac,Maintenance,35,medium
2747,B,ac,Maintenance,50,low
2748,D,ad,Engineer,13,high
2749,D,ad,Project Management,9,high
2750,B,ab,Project Management,30,medium
2751,D,ac,Engineer,3,high
2752,C,ae,Project Management,22,high
2753,B,ac,Engineer,25,medium
2754,D,ae,Engineer,19,high
2755,D,ac,Engineer,6,high
2756,D,ae,Project Management,22,high
2757,B,ab,Project Management,29,low
2758,B,aa,Project Management,35,low
2759,C,ad,Project Management,15,medium
2760,A,ac,Maintenance,31,low
2761,C,ad,Project Management,33,medium
2762,B,ac,Project Management,40,low
2763,B,ab,Project Management,48,low
2764,A,ac,Maintenance,48,low
2765,C,ad,Maintenance,29,medium
2766,C,ac,Engineer,22,high
2767,B,aa,Project Management,46,low
2768,C,ad,Project Management,5,high
2769,C,ab,Project Management,16,medium
2770,B,aa,Project Management,30,low
2771,C,ab,Engineer,17,medium
2772,A,ac,Project Management,40,low
2773,B,ab,Project Management,28,medium
2774,C,ad,Project Management,25,medium
2775,C,ac,Project Management,10,high
2776,B,ac,Maintenance,27,medium
2777,A,ab,Maintenance,38,low
2778,C,ad,Project Management,10,high
2779,B,ab,Maintenance,32,medium
2780,C,ac,Engineer,24,medium
2781,C,ad,Project Management,35,medium
2782,A,ab,Maintenance,30,low
2783,C,ae,Engineer,22,high
2784,A,aa,Maintenance,31,low
2785,B,ad,Project Management,34,medium
2786,C,ae,Engineer,19,high
2787,B,ac,Engineer,19,medium
2788,C,ab,Maintenance,28,medium
2789,C,ad,Engineer,10,high
2790,A,ac,Project Management,36,low
2791,B,ab,Engineer,28,medium
2792,C,ad,Maintenance,34,medium
2793,C,ab,Project Management,22,medium
2794,B,ad,Project Management,25,medium
2795,B,ac,Maintenance,29,medium
2796,D,ac,Engineer,12,high
2797,C,ae,Project Management,13,high
2798,D,ae,Project Management,21,high
2799,C,ae,Engineer,16,high
2800,D,ad,Engineer,19,high
2801,C,ac,Engineer,13,high
2802,B,aa,Project Management,52,low
2803,A,aa,Maintenance,42,low
2804,D,ae,Engineer,3,high
2805,B,aa,Project Management,37,low
2806,B,ac,Maintenance,43,low
2807,D,ae,Engineer,19,high
2808,C,ae,Project Management,19,high
2809,A,aa,Maintenance,39,low
2810,C,ab,Project Management,16,medium
2811,D,ae,Engineer,5,high
2812,B,ac,Project Management,35,low
2813,C,ad,Project Management,9,high
2814,B,ab,Maintenance,44,low
2815,C,ad,Project Management,18,medium
2816,D,ae,Project Management,11,high
2817,B,ab,Project Management,24,medium
2818,C,ad,Project Management,6,high
2819,B,ab,Maintenance,32,low
2820,B,ad,Engineer,24,medium
2821,D,ad,Project Management,19,high
2822,B,ac,Maintenance,40,low
2823,D,ac,Project Management,9,high
2824,C,ac,Project Management,14,high
2825,C,ae,Engineer,7,high
2826,B,ad,Engineer,20,medium
2827,C,ac,Engineer,20,high
2828,B,ac,Engineer,22,medium
2829,C,ac,Project Management,26,medium
2830,B,ac,Maintenance,32,medium
2831,C,ac,Project Management,33,medium
2832,C,ab,Engineer,18,medium
2833,A,aa,Project Management,42,low
2834,B,ab,Project Management,18,medium
2835,C,ad,Project Management,35,medium
2836,B,aa,Project Management,52,low
2837,B,ac,Maintenance,39,low
2838,C,ac,Maintenance,16,medium
2839,B,aa,Project Management,51,low
2840,C,ac,Engineer,30,medium
2841,B,ac,Maintenance,35,low
2842,B,ac,Project Management,17,medium
2843,B,aa,Project Management,35,low
2844,C,ab,Engineer,24,medium
2845,C,ad,Project Management,22,high
2846,B,ad,Engineer,29,medium
2847,B,ad,Project Management,17,medium
2848,C,ab,Engineer,21,medium
2849,B,ac,Maintenance,48,low
2850,B,ad,Maintenance,20,medium
2851,D,ac,Engineer,20,high
2852,C,ae,Project Management,9,high
2853,B,ab,Project Management,46,low
2854,A,aa,Maintenance,41,low
2855,B,ac,Engineer,26,medium
2856,A,ac,Project Management,38,low
2857,B,ab,Engineer,23,medium
2858,C,ac,Engineer,26,medium
2859,A,ac,Project Management,50,low
2860,D,ac,Engineer,15,high
2861,B,aa,Maintenance,35,low
2862,B,aa,Maintenance,51,low
2863,D,ae,Engineer,18,high
2864,C,ad,Project Management,35,medium
2865,C,ac,Project Management,15,high
2866,C,ad,Project Management,12,high
2867,B,ad,Engineer,25,medium
2868,C,ac,Engineer,17,medium
2869,A,ac,Project Management,45,low
2870,B,ad,Engineer,29,medium
2871,C,ae,Project Management,16,high
2872,D,ae,Engineer,3,high
2873,D,ac,Project Management,5,high
2874,C,ad,Engineer,30,medium
2875,C,ae,Engineer,11,high
2876,A,ac,Maintenance,42,low
2877,B,ab,Maintenance,19,medium
2878,B,ac,Project Management,42,low
2879,C,ad,Engineer,6,high
2880,D,ad,Engineer,3,high
2881,B,ac,Project Management,49,low
2882,A,ab,Project Management,46,low
2883,C,ad,Project Management,35,medium
2884,B,ac,Project Management,43,low
2885,D,ae,Project Management,8,high
2886,C,ac,Project Management,10,high
2887,B,aa,Project Management,46,low
2888,B,ab,Project Management,41,low
2889,C,ac,Project Management,16,high
2890,C,ad,Engineer,11,high
2891,C,ac,Project Management,12,high
2892,A,ab,Project Management,47,low
2893,A,ab,Maintenance,39,low
2894,C,ad,Project Management,3,high
2895,D,ae,Project Management,22,high
2896,C,ab,Maintenance,20,medium
2897,C,ac,Engineer,20,medium
2898,C,ad,Engineer,19,high
2899,B,aa,Maintenance,33,low
2900,A,ab,Project Management,30,low
2901,D,ae,Engineer,10,high
2902,B,ad,Engineer,32,medium
2903,D,ad,Engineer,11,high
2904,C,ac,Project Management,10,high
2905,C,ac,Engineer,15,high
2906,B,ac,Project Management,33,low
2907,D,ac,Project Management,10,high
2908,B,ab,Maintenance,32,low
2909,A,aa,Maintenance,51,low
2910,D,ad,Project Management,6,high
2911,B,ac,Maintenance,35,low
2912,D,ad,Project Management,11,high
2913,A,ac,Maintenance,47,low
2914,C,ae,Project Management,8,high
2915,D,ac,Project Management,9,high
2916,D,ae,Project Management,11,high
2917,A,ab,Maintenance,51,low
2918,B,aa,Maintenance,44,low
2919,C,ac,Project Management,10,high
2920,C,ac,Engineer,23,medium
2921,B,ad,Project Management,24,medium
2922,C,ae,Project Management,15,high
2923,B,ab,Engineer,30,medium
2924,D,ac,Engineer,11,high
2925,D,ae,Engineer,16,high
2926,B,ab,Project Management,37,low
2927,D,ae,Engineer,19,high
2928,C,ad,Engineer,7,high
2929,B,ab,Project Management,18,medium
2930,B,ab,Maintenance,46,low
2931,C,ae,Project Management,21,high
2932,C,ae,Engineer,6,high
2933,C,ae,Engineer,12,high
2934,A,aa,Project Management,33,low
